iter	Logloss
0	0.6704613114
1	0.6533315575
2	0.6391396162
3	0.6224876136
4	0.6072715946
5	0.5935310794
6	0.5838987048
7	0.5771778176
8	0.5635730877
9	0.5548862055
10	0.5456055468
11	0.5391861303
12	0.5311481122
13	0.5256443206
14	0.5174440297
15	0.5123036215
16	0.500961645
17	0.4909465168
18	0.4859872641
19	0.4815880204
20	0.478134789
21	0.4738702581
22	0.4668128975
23	0.4573453958
24	0.4458059163
25	0.4395061001
26	0.4355786601
27	0.4309485032
28	0.4225787568
29	0.4167203568
30	0.4100513397
31	0.4037314061
32	0.3997339933
33	0.3944112597
34	0.3897511378
35	0.3838757727
36	0.3794053213
37	0.3739582098
38	0.3663413928
39	0.3621828772
40	0.3594371727
41	0.3564468075
42	0.3511789015
43	0.3489178707
44	0.3455176795
45	0.3425279644
46	0.3375710842
47	0.3326481991
48	0.3305523012
49	0.3267891491
50	0.322643081
51	0.3208080288
52	0.3180659642
53	0.3162167745
54	0.311900991
55	0.3100454637
56	0.3064972996
57	0.3046714775
58	0.3027657051
59	0.2994995117
60	0.2969882303
61	0.2948063697
62	0.2913063057
63	0.2873590406
64	0.2841625275
65	0.2815725958
66	0.2801057371
67	0.2780852069
68	0.2758135811
69	0.2742634571
70	0.2726956531
71	0.2709334823
72	0.2693631271
73	0.2678927583
74	0.2643960744
75	0.2628526454
76	0.2613597378
77	0.2580809344
78	0.2567505923
79	0.2543856262
80	0.2514229674
81	0.2498456896
82	0.248233653
83	0.2451687976
84	0.243472277
85	0.242370573
86	0.2412297063
87	0.2392598438
88	0.2366641759
89	0.2354547828
90	0.234192057
91	0.2328980662
92	0.2310446515
93	0.2294780825
94	0.2280285625
95	0.2270922351
96	0.2255347174
97	0.224796283
98	0.2237117065
99	0.2217260651
100	0.2209335181
101	0.2201411498
102	0.2192679863
103	0.2184101466
104	0.217096672
105	0.2163096338
106	0.2151119569
107	0.2143373175
108	0.213298306
109	0.21192183
110	0.2112017257
111	0.2095151989
112	0.2086484866
113	0.2064979236
114	0.2047483629
115	0.2039608371
116	0.2032643766
117	0.2023917981
118	0.2016231224
119	0.2010149808
120	0.1995826859
121	0.1986637461
122	0.1972279899
123	0.196483998
124	0.1957787787
125	0.1949574041
126	0.1940588418
127	0.1933877476
128	0.1924133626
129	0.1911619631
130	0.1897468608
131	0.1890528052
132	0.18848862
133	0.1879466161
134	0.1870472088
135	0.1864765399
136	0.1851782103
137	0.1846224589
138	0.1838859745
139	0.1831496039
140	0.1821327738
141	0.1813256179
142	0.1806619175
143	0.1801302161
144	0.1793982818
145	0.178124181
146	0.1775482795
147	0.1770494357
148	0.1762962626
149	0.1758075751
150	0.1749673504
151	0.1743174625
152	0.1731998659
153	0.1723996001
154	0.1718433937
155	0.170624283
156	0.1699461038
157	0.1694697988
158	0.1689833701
159	0.1678341997
160	0.167203568
161	0.1666554541
162	0.166203248
163	0.1656563853
164	0.1651412103
165	0.1646874766
166	0.1642583943
167	0.1638272644
168	0.1633038668
169	0.1628517094
170	0.1621562076
171	0.1616391963
172	0.1611300175
173	0.1606119824
174	0.1603012654
175	0.1599695533
176	0.159577391
177	0.1591631612
178	0.1581666924
179	0.157796549
180	0.1573491041
181	0.1569718918
182	0.1565268682
183	0.1561381997
184	0.1557686413
185	0.1553372677
186	0.1549095503
187	0.1544756255
188	0.1540865995
189	0.1535378681
190	0.153129212
191	0.1527635536
192	0.1524556478
193	0.1520390942
194	0.1511927921
195	0.1507053233
196	0.1503577349
197	0.1499742014
198	0.1495164378
199	0.1489663414
200	0.148644363
201	0.1482467245
202	0.147662633
203	0.1471103266
204	0.1466869155
205	0.146395926
206	0.1460694464
207	0.1457637994
208	0.145299487
209	0.1448790334
210	0.1442750031
211	0.1440877864
212	0.1431823665
213	0.1428836258
214	0.1425335349
215	0.142183054
216	0.1417590417
217	0.1413314868
218	0.1405552548
219	0.1400847836
220	0.139274134
221	0.1388485617
222	0.1385955323
223	0.138288699
224	0.1378528079
225	0.1374546169
226	0.137096271
227	0.1367185062
228	0.136342204
229	0.1359558268
230	0.1353404052
231	0.1350007306
232	0.1346920204
233	0.1343538408
234	0.134073942
235	0.1336640997
236	0.1332866681
237	0.1330504006
238	0.1327459398
239	0.1324286984
240	0.1321524071
241	0.1318198662
242	0.131621242
243	0.1312849473
244	0.1307050321
245	0.1303478318
246	0.1299475039
247	0.1296271506
248	0.1291021118
249	0.1288435817
250	0.1286411631
251	0.1280418209
252	0.1277896609
253	0.1274423894
254	0.1269599094
255	0.1268045834
256	0.1265172339
257	0.1261242266
258	0.1257859089
259	0.1255184576
260	0.1251978605
261	0.1245899302
262	0.1242790182
263	0.1239014484
264	0.1234682873
265	0.1230690157
266	0.1227024879
267	0.1225012961
268	0.122252183
269	0.1219793448
270	0.1217207985
271	0.1215360274
272	0.1212377579
273	0.1208971976
274	0.1204145958
275	0.1198483143
276	0.1194419658
277	0.1192018714
278	0.1186909457
279	0.118340213
280	0.117959767
281	0.117659385
282	0.1173711417
283	0.117103796
284	0.1168946499
285	0.1166006054
286	0.1164010061
287	0.1161844743
288	0.1159764494
289	0.1157151325
290	0.1155670865
291	0.1153517491
292	0.1150540077
293	0.114839499
294	0.114567977
295	0.1143554671
296	0.1140918021
297	0.1138373427
298	0.1135352382
299	0.1132556887
300	0.1129872867
301	0.1126895616
302	0.1124903361
303	0.1121901735
304	0.1120582069
305	0.1118744676
306	0.1115819588
307	0.111373682
308	0.1111581414
309	0.1109973554
310	0.1107367291
311	0.1104254839
312	0.1101044156
313	0.1099037195
314	0.1096530707
315	0.1094092632
316	0.1091968264
317	0.1090158903
318	0.1086726407
319	0.1084918427
320	0.1081949464
321	0.1079514151
322	0.1077110526
323	0.1075437259
324	0.1073374723
325	0.1070653166
326	0.1068597861
327	0.1065720303
328	0.106367036
329	0.1060860647
330	0.1056714855
331	0.1054417181
332	0.105258637
333	0.1050535858
334	0.1048318296
335	0.1045610714
336	0.104378421
337	0.1041096696
338	0.1039324711
339	0.1037355693
340	0.1036184878
341	0.1034494873
342	0.1031365765
343	0.1030310488
344	0.1026758066
345	0.1024583973
346	0.1021947241
347	0.1019602685
348	0.1016941741
349	0.1014919748
350	0.1010933125
351	0.1009548134
352	0.1006829096
353	0.1005267223
354	0.1002469616
355	0.1000747518
356	0.09985999939
357	0.09968167144
358	0.09947524716
359	0.09920054833
360	0.09893061076
361	0.09874486466
362	0.09845477704
363	0.09830805542
364	0.09809729238
365	0.09794277073
366	0.09773737021
367	0.09755171348
368	0.09735853299
369	0.09708996855
370	0.09680133531
371	0.09641528307
372	0.09625497641
373	0.09602793083
374	0.09585257663
375	0.09561669103
376	0.09536611539
377	0.09511700225
378	0.09493087427
379	0.09474874381
380	0.09456967647
381	0.09438540913
382	0.09422562247
383	0.09402343945
384	0.09375104813
385	0.09358337207
386	0.09329744447
387	0.09309412395
388	0.0928906978
389	0.09259878205
390	0.09221669482
391	0.09195971667
392	0.09179037498
393	0.09161840892
394	0.09146263602
395	0.09128334119
396	0.09117925967
397	0.09081592499
398	0.09054308679
399	0.09037002385
400	0.09020372092
401	0.09001938857
402	0.08984301062
403	0.08968968336
404	0.08935913313
405	0.08915985075
406	0.0889449927
407	0.08873869842
408	0.08856233672
409	0.08840464632
410	0.08821481333
411	0.08805782168
412	0.08788443373
413	0.08764378687
414	0.08748525146
415	0.08734318547
416	0.08703910657
417	0.08673417454
418	0.08654556031
419	0.0863980018
420	0.08624287078
421	0.08593690687
422	0.08571368818
423	0.08556304217
424	0.08530443088
425	0.08510722037
426	0.08495381186
427	0.08484423783
428	0.08474380444
429	0.08460897785
430	0.08445343245
431	0.08420480681
432	0.08407797524
433	0.08390369354
434	0.08359272462
435	0.0833867391
436	0.0832238568
437	0.08308695833
438	0.08299724997
439	0.08279252382
440	0.08254964258
441	0.0823620521
442	0.08223185676
443	0.08207961012
444	0.08195698731
445	0.08179935378
446	0.08157498133
447	0.08145014039
448	0.08132776945
449	0.08116897404
450	0.08095977913
451	0.08065586273
452	0.08057423065
453	0.08045464659
454	0.08032098187
455	0.08020456657
456	0.08001907235
457	0.0799039083
458	0.07977862048
459	0.07956590744
460	0.07928671547
461	0.07912200505
462	0.07890521325
463	0.07875204036
464	0.07857752303
465	0.07845441272
466	0.07834398556
467	0.07815869446
468	0.07800542407
469	0.07791364383
470	0.07780789669
471	0.07760521804
472	0.07741884632
473	0.0772852466
474	0.07719079323
475	0.07705304163
476	0.07686568678
477	0.0766996926
478	0.07649172457
479	0.07621516511
480	0.07599494455
481	0.07580810969
482	0.07559847603
483	0.07539338426
484	0.0752823396
485	0.07513518735
486	0.07500765702
487	0.07476640078
488	0.07451509388
489	0.07434403782
490	0.07417649177
491	0.07406010084
492	0.07392790676
493	0.07380019768
494	0.07365094105
495	0.073533502
496	0.07334860902
497	0.07312941221
498	0.07297250993
499	0.0728306877
500	0.07265457787
501	0.07245781424
502	0.07231092199
503	0.07214552907
504	0.07202468563
505	0.07186150272
506	0.07177727875
507	0.07161334833
508	0.07147216797
509	0.07133226324
510	0.0711911885
511	0.07109346887
512	0.07091322341
513	0.07079252623
514	0.07063449457
515	0.07050890613
516	0.07026548863
517	0.07014159831
518	0.07003977555
519	0.06993358965
520	0.06984605881
521	0.06975788608
522	0.06967689587
523	0.06949442416
524	0.06931652683
525	0.06924769977
526	0.06913334823
527	0.06897205032
528	0.06886093253
529	0.06880304176
530	0.06862036692
531	0.06850146536
532	0.06837182253
533	0.0683216749
534	0.06818728706
535	0.06804378294
536	0.06781988174
537	0.06771493491
538	0.06755962514
539	0.06740883288
540	0.06729334383
541	0.06715451567
542	0.06701194999
543	0.06687460057
544	0.06676255654
545	0.06658859172
546	0.06646610297
547	0.06633485544
548	0.06627975155
549	0.06609872609
550	0.06597139889
551	0.0658096216
552	0.06567953595
553	0.06549250204
554	0.06524945829
555	0.06510358979
556	0.06496121505
557	0.06486453137
558	0.06479533056
559	0.06469924407
560	0.06462855639
561	0.06444529248
562	0.06434915723
563	0.06423280287
564	0.06413282856
565	0.06404065019
566	0.06387674009
567	0.06370390058
568	0.0635985475
569	0.06348657253
570	0.06336009439
571	0.06323981564
572	0.06315425511
573	0.06299962784
574	0.06292070545
575	0.06276088629
576	0.06267331482
577	0.06254598356
578	0.06246685398
579	0.06235965652
580	0.06221189895
581	0.0619136985
582	0.06181375262
583	0.06172705865
584	0.06163469341
585	0.06149280617
586	0.06138750184
587	0.06125110305
588	0.06114012339
589	0.06105901537
590	0.06087714897
591	0.06069860976
592	0.06053939998
593	0.06042201374
594	0.06028193432
595	0.06017755218
596	0.06015527744
597	0.06007624536
598	0.05997241978
599	0.05988884582
600	0.05977471365
601	0.05964309237
602	0.05951667924
603	0.05943902435
604	0.05931984655
605	0.05923494414
606	0.05902478235
607	0.05890047766
608	0.05873380911
609	0.05856152617
610	0.05840859296
611	0.058351275
612	0.05827525325
613	0.05818184395
614	0.05807764055
615	0.05792892424
616	0.05783888276
617	0.05763724005
618	0.05747959027
619	0.05727974726
620	0.05716450197
621	0.05697890212
622	0.05683644613
623	0.05672382115
624	0.05665364535
625	0.05658656517
626	0.05646225642
627	0.05636314741
628	0.05628223033
629	0.05619013322
630	0.05607909262
631	0.05598405019
632	0.05593787976
633	0.05581317694
634	0.05575537555
635	0.05568289224
636	0.05564323807
637	0.05549225081
638	0.05528453465
639	0.05519847443
640	0.05513924709
641	0.05495970445
642	0.05487305923
643	0.05476072675
644	0.05464643614
645	0.05455201122
646	0.05442840121
647	0.05435278977
648	0.0542875621
649	0.05419083373
650	0.05410560632
651	0.05406882435
652	0.05397527286
653	0.05391253958
654	0.05368407618
655	0.05365177922
656	0.05346942938
657	0.05336523005
658	0.05325499383
659	0.05316343297
660	0.05307011711
661	0.05298365064
662	0.05286660159
663	0.05278484763
664	0.05262391534
665	0.05249309438
666	0.05240714791
667	0.05230056389
668	0.05217175793
669	0.05209303055
670	0.05200771376
671	0.05193711952
672	0.0518852047
673	0.05181121826
674	0.05172490617
675	0.05164308314
676	0.05159265926
677	0.05150102934
678	0.05141750413
679	0.05136739713
680	0.0512779569
681	0.05113941717
682	0.05104740943
683	0.05093449195
684	0.0508258848
685	0.05072167735
686	0.05066149532
687	0.0505891217
688	0.05053117811
689	0.05042304221
690	0.0503253754
691	0.05023861642
692	0.05015610277
693	0.05002996995
694	0.04991465153
695	0.04984141259
696	0.04977224023
697	0.0497029988
698	0.04964137864
699	0.04953675681
700	0.04948766544
701	0.04943380468
702	0.04932448658
703	0.04923709386
704	0.0491404833
705	0.04903983054
706	0.04894478811
707	0.04886896135
708	0.04879031115
709	0.04870921532
710	0.04856934715
711	0.04848271818
712	0.04842152458
713	0.04831775182
714	0.04825966604
715	0.04811969631
716	0.04804939457
717	0.04789620136
718	0.04779847361
719	0.04775256725
720	0.0476964071
721	0.04761912597
722	0.04748009874
723	0.04737410378
724	0.04731798832
725	0.04727003039
726	0.04715157977
727	0.04706695768
728	0.04698589841
729	0.04693940298
730	0.04689519068
731	0.04677708131
732	0.04670991176
733	0.04661336621
734	0.04654392978
735	0.046436192
736	0.04637443372
737	0.04626731344
738	0.04622651365
739	0.04613453842
740	0.04605834603
741	0.04595900141
742	0.04591190878
743	0.0458144126
744	0.04570618326
745	0.04558821608
746	0.04547965768
747	0.04538964057
748	0.0453035316
749	0.04524694083
750	0.04516107155
751	0.04505476784
752	0.04497776702
753	0.04488532053
754	0.04480618283
755	0.04474200329
756	0.0446401399
757	0.0445639719
758	0.04449072077
759	0.04440695993
760	0.0443252141
761	0.04423810169
762	0.04410844667
763	0.04403633711
764	0.04396391067
765	0.04387230919
766	0.04376414891
767	0.04356319683
768	0.04343909933
769	0.04337375791
770	0.04334166814
771	0.04327083015
772	0.0432427907
773	0.04316154862
774	0.04304783895
775	0.04300040914
776	0.04294461056
777	0.04287160725
778	0.04279110861
779	0.04274706693
780	0.0426169366
781	0.04250821163
782	0.04241155639
783	0.04233141118
784	0.04227883823
785	0.04219227832
786	0.04214345101
787	0.04201182568
788	0.04192760171
789	0.04183004458
790	0.04171112678
791	0.04164472099
792	0.04156256078
793	0.04147350242
794	0.04137651811
795	0.04129827822
796	0.04121770239
797	0.04115756911
798	0.04103842787
799	0.0409720952
800	0.04087124338
801	0.04076061716
802	0.04069270417
803	0.04065612533
804	0.04058683921
